source_id,target_id,relationship,weight,label,bidirectional
company_228,sector_12,OPERATES_IN,1,operates in,0
company_229,sector_12,OPERATES_IN,1,operates in,0
company_230,sector_6,OPERATES_IN,1,operates in,0
company_231,sector_12,OPERATES_IN,1,operates in,0
company_232,sector_12,OPERATES_IN,1,operates in,0
company_233,sector_0,OPERATES_IN,1,operates in,0
company_234,sector_12,OPERATES_IN,1,operates in,0
company_235,sector_11,OPERATES_IN,1,operates in,0
company_236,sector_12,OPERATES_IN,1,operates in,0
company_237,sector_12,OPERATES_IN,1,operates in,0
company_238,sector_2,OPERATES_IN,1,operates in,0
company_239,sector_2,OPERATES_IN,1,operates in,0
company_240,sector_12,OPERATES_IN,1,operates in,0
company_241,sector_12,OPERATES_IN,1,operates in,0
company_242,sector_0,OPERATES_IN,1,operates in,0
company_243,sector_0,OPERATES_IN,1,operates in,0
company_244,sector_4,OPERATES_IN,1,operates in,0
company_245,sector_0,OPERATES_IN,1,operates in,0
company_246,sector_0,OPERATES_IN,1,operates in,0
company_247,sector_0,OPERATES_IN,1,operates in,0
company_248,sector_12,OPERATES_IN,1,operates in,0
company_249,sector_0,OPERATES_IN,1,operates in,0
company_250,sector_0,OPERATES_IN,1,operates in,0
company_251,sector_0,OPERATES_IN,1,operates in,0
company_252,sector_0,OPERATES_IN,1,operates in,0
company_253,sector_0,OPERATES_IN,1,operates in,0
company_254,sector_0,OPERATES_IN,1,operates in,0
company_255,sector_12,OPERATES_IN,1,operates in,0
company_256,sector_10,OPERATES_IN,1,operates in,0
company_257,sector_0,OPERATES_IN,1,operates in,0
company_258,sector_1,OPERATES_IN,1,operates in,0
company_259,sector_8,OPERATES_IN,1,operates in,0
company_260,sector_8,OPERATES_IN,1,operates in,0
company_261,sector_8,OPERATES_IN,1,operates in,0
company_262,sector_8,OPERATES_IN,1,operates in,0
company_263,sector_8,OPERATES_IN,1,operates in,0
company_264,sector_8,OPERATES_IN,1,operates in,0
company_265,sector_8,OPERATES_IN,1,operates in,0
company_266,sector_8,OPERATES_IN,1,operates in,0
